date,gas_price,uber_ride,groceries_basket,rent_index,streaming_cost,gas_price_idx,uber_ride_idx,groceries_basket_idx,rent_index_idx,streaming_cost_idx,RIPI,cpi,cpi_idx,ripi_minus_cpi_idx
2025-02-20,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-21,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-22,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-23,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-24,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-25,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-26,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-27,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-02-28,3.261,265.313,15.927,430.318,598.462,101.24185035703196,102.19439479847159,126.4147948249861,104.54761904761905,103.23062513260415,108.96801496374839,319.679,103.22281706694909,5.745197896799297
2025-03-01,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-02,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-03,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-04,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-05,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-06,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-07,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-08,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-09,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-10,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-11,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-12,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-13,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-14,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-15,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-16,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-17,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-18,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-19,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-20,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-21,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-22,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-23,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-24,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-25,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
2025-03-26,3.232,256.838,16.317,431.645,593.093,100.3415088481838,98.9299580919512,129.51027859353917,104.87001943634596,102.30450914472698,109.07497189201787,319.785,103.25704395895359,5.817927933064283
